"0,1"
"1.53,4.58321"
"1.54,4.62905"
"1.55,4.67534"
"1.56,4.72209"
"1.57,4.76931"
"1.58,4.817"
"1.59,4.86517"
"1.6,4.91383"
"1.61,4.96296"
"1.62,5.01259"
"1.63,5.06272"
"1.64,5.11335"
"1.65,5.16448"
"1.66,5.21613"
"1.67,5.26829"
"1.68,5.32097"
"1.69,5.37418"
"1.7,5.42792"
"1.71,5.4822"
"1.72,5.53702"
"1.73,5.59239"
"1.74,5.64832"
"1.75,5.7048"
"1.76,5.76185"
"1.77,5.81947"
"1.78,5.87766"
"1.79,5.93644"
"1.8,5.9958"
"1.81,6.05576"
"1.82,6.11632"
"1.83,6.17748"
"1.84,6.23926"
"1.85,6.30165"
"1.86,6.36466"
"1.87,6.42831"
"1.88,6.49259"
"1.89,6.55752"
"1.9,6.6231"
"1.91,6.68933"
"1.92,6.75622"
"1.93,6.82378"
"1.94,6.89202"
"1.95,6.96094"
"1.96,7.03055"
"1.97,7.10085"
"1.98,7.17186"
"1.99,7.24358"
"2,7.31602"
"2.01,7.38918"
"2.02,7.46307"
"2.03,7.5377"
"2.04,7.61308"
"2.05,7.68921"
"2.06,7.7661"
"2.07,7.84376"
"2.08,7.9222"
"2.09,8.00142"
"2.1,8.08144"
"2.11,8.16225"
"2.12,8.24387"
"2.13,8.32631"
"2.14,8.40957"
"2.15,8.49367"
"2.16,8.57861"
"2.17,8.66439"
"2.18,8.75104"
"2.19,8.83855"
"2.2,8.92693"
"2.21,9.0162"
"2.22,9.10636"
"2.23,9.19743"
"2.24,9.2894"
"2.25,9.3823"
"2.26,9.47612"
"2.27,9.57088"
"2.28,9.66659"
"2.29,9.76325"
"2.3,9.86089"
"2.31,9.9595"
"2.32,10.0591"
"2.33,10.1597"
"2.34,10.2613"
"2.35,10.3639"
"2.36,10.4675"
"2.37,10.5722"
"2.38,10.6779"
"2.39,10.7847"
"2.4,10.8926"
"2.41,11.0015"
"2.42,11.1115"
"2.43,11.2226"
"2.44,11.3348"
"2.45,11.4482"
"2.46,11.5627"
"2.47,11.6783"
"2.48,11.7951"
"2.49,11.913"
"2.5,12.0322"
"2.51,12.1525"
"2.52,12.274"
"2.53,12.3967"
"2.54,12.5207"
"2.55,12.6459"
"2.56,12.7724"
"2.57,12.9001"
"2.58,13.0291"
"2.59,13.1594"
"2.6,13.291"
"2.61,13.4239"
"2.62,13.5581"
"2.63,13.6937"
"2.64,13.8307"
"2.65,13.969"
"2.66,14.1086"
"2.67,14.2497"
"2.68,14.3922"
"2.69,14.5362"
